date,Atlanta,Boston,Chicago,Cleveland,Dallas,KC,Minneapolis,National,NY,Philadelphia,Richmond,SF,SL,Consensus
1981-01,-0.23076923,-0.06818182,-0.44776119,-0.19047619,-0.02439024,-0.26086957,-0.29032258,-0.35294118,0.06382979,0.11363636,-0.02777778,-0.4047619,-0.30555556,-0.17278333
1981-03,0.14285714,-0.26086957,-0.22058824,0.08888889,0.17073171,0.17391304,-0.82608696,-0.05882353,0.14634146,-0.01754386,-0.12244898,-0.5106383,-0.22857143,-0.12200126
1981-05,-0.23913043,-0.26829268,-0.22222222,-0.02083333,-0.11111111,-0.14893617,-0.05555556,-0.18181818,0.04,0.05,0.375,-0.20930233,-0.04878049,-0.07159703
1981-06,0.0,-0.19565217,-0.22033898,-0.21276596,0.01818182,-0.02272727,-0.06060606,-0.1,-0.09090909,0.12244898,-0.225,-0.1372549,-0.37837838,-0.11691684
1981-08,-0.30612245,-0.48780488,-0.33823529,-0.40909091,-0.04255319,0.13333333,-0.43902439,-0.44615385,-0.36538462,0.26530612,-0.30555556,-0.55813953,-0.24390244,-0.25809782
1981-09,-0.22,-0.21153846,-0.40983607,-0.34693878,-0.19148936,-0.16666667,-0.4137931,-0.22641509,-0.20338983,0.08163265,-0.38461538,-0.78378378,0.0,-0.27086823
1981-11,-0.45,-0.37254902,-0.46551724,-0.45833333,-0.25581395,-0.31428571,-0.6,-0.63636364,-0.58695652,-0.24528302,-0.525,-0.68181818,-0.18918919,-0.42872885
1981-12,-0.43589744,-0.41071429,-0.45762712,-0.70833333,-0.02325581,-0.06976744,-0.6,-0.48888889,-0.39285714,-0.04081633,-0.5,-0.65909091,-0.34210526,-0.38670542
1982-01,-0.49090909,-0.40625,-0.3968254,-0.47058824,-0.30434783,-0.18604651,-0.48717949,-0.60377358,-0.28301887,-0.02173913,-0.2972973,-0.64583333,-0.54054054,-0.37754798
1982-03,-0.42372881,-0.36065574,-0.47142857,-0.24137931,-0.23529412,-0.12820513,-0.42553191,-0.42682927,-0.57446809,-0.10204082,-0.48648649,-0.63043478,-0.11428571,-0.34949496
1982-05,-0.15,-0.24137931,-0.39130435,-0.56862745,-0.2244898,-0.40540541,-0.53846154,-0.5,-0.43636364,-0.16,-0.3,-0.59574468,-0.24324324,-0.35458495
1982-06,-0.22222222,-0.26,-0.36065574,-0.425,-0.27083333,-0.04166667,-0.43103448,-0.47058824,-0.49122807,-0.08510638,-0.41666667,-0.47619048,0.07317073,-0.28395278
1982-08,-0.05660377,0.01587302,-0.41935484,-0.61111111,-0.11363636,-0.21428571,-0.41666667,-0.55102041,-0.5,-0.21052632,-0.42857143,-0.48888889,-0.15625,-0.30000184
1982-09,-0.25,0.01851852,-0.24590164,-0.49122807,-0.19565217,0.01960784,-0.66666667,-0.34693878,-0.30357143,-0.25,-0.31914894,-0.48837209,0.40540541,-0.2305841
1982-11,-0.27536232,-0.0754717,-0.43283582,-0.2295082,-0.08510638,-0.26086957,-0.2173913,-0.34782609,-0.34782609,-0.23529412,-0.40909091,-0.54761905,0.05714286,-0.25493605
1982-12,-0.09836066,0.0,-0.41935484,-0.40677966,0.2244898,0.0,-0.02941176,0.19607843,-0.25,-0.07142857,0.0,-0.51282051,-0.02702703,-0.13255777
1983-02,-0.0952381,0.08,-0.21212121,0.03076923,-0.05128205,0.09302326,0.07017544,-0.07692308,0.15517241,0.27083333,0.0625,-0.25,0.34285714,0.04139079
1983-03,0.0625,0.22580645,-0.06349206,-0.05263158,0.09615385,0.33333333,-0.08474576,0.09677419,0.01923077,0.26530612,0.13888889,0.1,0.23529412,0.10630368
1983-05,0.0,0.07352941,-0.04,0.14084507,0.19607843,0.06521739,-0.07272727,-0.05357143,0.11842105,0.45614035,0.40909091,-0.0952381,0.33333333,0.13205755
1983-07,0.20967742,0.06976744,-0.04109589,0.22727273,0.1509434,0.30232558,0.03571429,0.11111111,0.0,0.35416667,0.22222222,0.2826087,0.225,0.16988355
1983-08,0.15384615,-0.06818182,-0.11111111,0.09677419,0.0952381,0.19148936,0.35384615,0.08196721,0.12195122,0.2,0.26470588,0.27659574,0.14705882,0.14351772
1983-09,-0.1,-0.03448276,-0.16949153,0.01960784,0.06976744,0.04545455,0.26315789,-0.07142857,-0.31914894,0.14583333,0.13157895,-0.14893617,0.05263158,-0.00366898
1983-11,0.42622951,0.33333333,0.13846154,0.21538462,0.26415094,0.05769231,0.17857143,0.20930233,0.19512195,0.28,0.07692308,-0.02702703,0.125,0.18865347
1983-12,0.41818182,0.08888889,0.03278689,0.16071429,0.23913043,-0.08,0.21818182,0.03125,0.22222222,0.3,0.21621622,0.0952381,0.35555556,0.18892635
1984-01,0.11428571,0.18604651,0.10606061,0.13333333,0.15909091,-0.06521739,0.30232558,0.17021277,0.37777778,0.66666667,0.48780488,0.59183673,0.25,0.27583428
